Search Key,Name,Description,Account Type,Account Sign,Document Controlled,Summary Level,Default Account,Parent_Value,Element Level,Operands,Show Value Condition,Title Node
L,EQUITY AND LIABILITIES,EQUITY AND LIABILITIES,Owner's Equity,Credit,false,true,,,E,,Algebraic,false
L01,Shareholders' Funds,Shareholders' Funds,Owner's Equity,Credit,false,true,,L,E,,Algebraic,false
L0101,Share Capital,Share Capital,Owner's Equity,Credit,false,true,,L01,D,,Algebraic,false
L010101,Issued & Subscribed Capital,Issued & Subscribed Capital,Owner's Equity,Credit,false,true,,L0101,D,,Algebraic,false
L01010101,Subscribed and fully paid,Subscribed and fully paid,Owner's Equity,Credit,false,true,,L010101,C,,Algebraic,false
L01010102,Subscribed and not fully paid,Subscribed and not fully paid,Owner's Equity,Credit,false,true,,L010101,C,,Algebraic,false
L0102,Reserves and Surplus,Reserves and Surplus,Liability,Credit,false,true,,L01,D,,Algebraic,false
L010201,Reserves & Surplus A/c,Reserves & Surplus A/c,Liability,Credit,false,true,,L0102,C,,Algebraic,false
L01020101,Reserves & Surplus A/c,Reserves & Surplus A/c,Liability,Credit,true,false,RETAINEDEARNING_ACCT,L010201,S,,Algebraic,false
L010202,Profit & Loss Account,Profit & Loss Account,Liability,Credit,false,true,,L0102,C,,Algebraic,false
L01020201,Profit & Loss Account - Current Financial Year,Profit & Loss Account - Current Financial Year,Liability,Credit,true,false,INCOMESUMMARY_ACCT,L010202,S,,Algebraic,false
L010203,Money received against share warrants,Money received against share warrants,Owner's Equity,Credit,false,true,,L01,D,,Algebraic,false
L02,Share Application Money Pending Allotment,Share Application Money Pending Allotment,Owner's Equity,Credit,false,true,,L,E,,Algebraic,false
L03,Non-Current Liabilities,Non-Current Liabilities,Liability,Credit,false,true,,L,E,,Algebraic,false
L0301,Longterm Borrowings,Longterm Borrowings,Liability,Credit,false,true,,L03,D,,Algebraic,false
L0302,Deferred Tax Liability (Net),Deferred Tax Liability (Net),Liability,Credit,false,true,,L03,D,,Algebraic,false
